O15116	Q99J45	F1LTB8	A4FUE0	J9P8M7
Q9BYC9	P52825	F1LNK0	F1N1F8	F1PMK1
Q96CB8	Q9D495	D3ZVR7	F1N0X1	J9NVU7
O43318	P35922	Q6AYR1	E1BDX8	F1P969
P58753	P70321	D3ZDJ3	E1BIJ0	F1PNM8
Q07020	O35737	P62198	Q8HYB6	E2RD85
Q9H0B6	P06801	Q66HA4	Q05B82	E2RQ22
O14980	P12023	D4A9N5	F1MC14	F6XBZ5
Q9NVH1	G3X9K4	A0A0G2JSH2	Q2HJB8	J9P8D6
Q04917	P61222	D4A1B9	E1BM72	E2RB53
Q86VQ0	Q9ES70	D4A4P4	-	-
P35520	Q3U7U3	D3ZWB1	G8JKZ3	J9NRU2
P51178	Q01065	G3V7V0	A0A140T838	J9NWK2
Q9Y496	Q3US16	Q5U3Z2	E1B717	E2RRV5
Q9Y5F2	P10856	Q8VHF9	E1BHS6	E2R3X1
P11586	E9Q7G0	Q5U2W5	A7MBD1	E2R017
P27694	P39688	Q2EJA0	F1N0E5	F1PDG4
P30291	Q64475	G3V7W1	Q2HJ33	E2RHK9
Q13526	Q99N15	Q5U300	F1MWQ3	E2RPD7
Q9UIS9	Q924B0	P49000	A2VE31	J9P6G5
O95782	P39053	B2GUZ0	P17248	E2RGG9
P62995	Q61699	G3V8H5	F1MVN1	E2R5Q5
Q13242	Q9QZQ1	A0A0G2K5I9	Q3SZI6	F1PB30
O43255	Q80YC5	-	-	-
O76083	Q9D6F4	D3ZQ06	Q5E9Z5	P58027
Q96GM5	P16879	P41740	G1K1S1	E2RRB2
P60468	Q8BH75	D3ZF56	P79099	F1PGG6
Q9HBM1	A0A087WPY8	D3ZX03	F6QUQ0	E2RJG1
P08236	A2SW42	M0RDZ7	F1N3J3	E2RFJ1
Q6P587	F6VDQ9	Q9ET09	E1BKL9	E2RRW6
O14753	P11609	D3ZLR4	E1B8B9	F1P6J7
Q9ULX9	A0A1L1SU00	P07953	F1N1S4	E2RIZ1
P31150	Q8BLY2	A1L108	F1MS34	J9P7R3
Q15024	Q9CZT6	G3V8E0	E1B7N1	E2RIA1
Q15797	Q3U214	A0A0G2JU56	-	-
Q8IWI9	P38533	Q5XIE0	E1BPA4	E2RSE6
Q12873	Q9CQA5	F1MA31	A6QLR9	E2RR33
Q9H444	P17710	Q08849	F1MEW4	E2RN50
O60831	Q8BNJ6	B1WBX1	A5D784	J9P6P7
Q5VIR6	Q3U0K8	F1LND7	Q17QT5	F1PUP8
O60885	P35821	D4A022	-	-
Q6P1J9	P97855	P61980	E1BBY7	E2RB81
P78352	O09174	A0A0G2JUE5	Q1LZE2	J9NUB8
Q9NTN9	Q8JZL3	Q9JLD2	O18756	J9NWQ3
Q9BWF3	A2A4P0	Q5M9F1	P10279	E2RLL1
O95931	Q99K43	D4ADD8	E1BP45	E2RHD6
Q8NDX5	Q9D844	A0A0G2K4K0	A4FUG9	F1PEU4
P49841	O08749	Q6MG27	E1BIM8	E2QWU2
Q99062	Q924H0	G3V757	F6QC58	E2QX60
O95470	Q06507	G3V9U1	P25500	J9P4L2
Q8WWF5	P18761	D3ZQB1	Q0VCN4	E2RM24
P51659	A0A0R4J098	D4A2B7	-	-
P62993	P48754	D3ZUC2	-	-
P63104	P01108	F1MA52	E1BE98	E2QWE0
Q07890	Q923G2	Q9Z2J4	F1MP98	J9NS26
Q92997	P62996	F1M9D6	G3X6J7	E2R9V5
Q9Y2G4	Q922Z1	-	-	-
O75533	Q9WV02	E9PTB2	E1BD02	E2QVF3
P16333	Q7TMM9	P68136	Q3SX26	P62822
Q9NY26	Q8BM15	D3ZQ65	F1MC23	J9NVD7
A8K8V0	A2AAY5	Q5Y986	E1BBU4	E2QVQ1
Q86X29	Q8CGU1	-	-	-
Q99717	P45481	D4AEC0	Q5E9D3	E2QSI0
Q5VZ89	O88630	D3Z8X5	Q2M2U3	F1PRB6
Q9BQK8	Q9CWT3	P22062	Q3MHE5	F1PLR9
Q15750	Q8K4L0	B2GUV8	P79126	E2RGS2
Q8N6Y1	A2A9K7	P15385	G3X6K1	F1P9I1
P04637	Q01279	-	-	-
Q96EQ8	P53702	G3V6Z2	F1N157	E2RIS0
Q14790	Q8BHY2	D3ZYL0	A4IFR1	E2QVM3
Q9Y6E0	Q9D823	-	-	-
Q16552	Q9Z280	Q5H8A2	E1BLC6	-
Q9BXL7	Q61503	-	-	-
Q92576	Q3TZ89	D3ZVE0	F1MBD2	F1PC14
Q9UK41	P58064	Q5PQK4	Q58DS7	E2RSD0
Q9Y6D9	E9Q8K8	Q9EQP5	-	-
O15342	P70276	Q9JI56	A6QLI6	E2QXA2
P52569	Q3TJM4	B0K018	Q05717	F6X4N8
Q16222	Q3TA38	Q5BK13	G3N3V8	E2R2J3
P27348	P63280	Q62844	A6H744	E2RA07
Q96F86	Q8CBY8	Q62865	E1BND0	F1PL33
P0CG32	Q91W59	P07722	F1N6N3	E2RSY4
P48047	Q8VHG2	D4A9Z6	E1BPP2	E2RGG6
P08559	P00520	O70513	Q2LGB8	F1Q0S9
P42166	P06804	-	-	-
Q9UPT8	Q62312	A0A0G2K4A8	Q3SZB4	E2R498
P07437	P99024	P67874	E1BFD5	F1PJT2
Q13546	P62878	A0A140TAB9	F1N443	E2RH09
Q13323	Q9Z2L6	A0A0G2KA99	Q3SYT0	F1PNV3
Q969F0	Q9CY94	F1M4Q3	Q58CN7	F1PC23
Q3KQU3	Q3TBW2	D4A2R8	E1BKN8	E2QUD6
P04406	Q91YQ5	O88321	P63243	F6V5G7
Q9H4A3	P59941	-	-	-
Q9Y3D0	Q8BZ33	D3ZXG0	F1MH30	F1PKH7
P04179	P54729	-	-	-
Q13029	P58465	D3ZPC3	Q2TBG9	J9P885
O43151	Q61288	D4A1Q9	F1N032	J9NSZ5
Q99623	Q62351	F7FF45	E1BNA1	F1PDC7
P08243	Q9Z2N8	P32089	F1MT25	J9P5W6
Q9NZL4	P59108	-	-	-
Q8IXQ3	P51410	M0R5N9	G5E5Q8	E2RQJ7
Q9BRX5	A2A5N8	Q4VFZ4	E1BNB3	E2RHJ7
Q9Y6E2	Q8BN21	D4A355	E1BP01	J9NT74
P51149	Q6GU14	A0JPN0	E1B7X9	F1PUL0
Q7Z4R8	Q9D4B2	A0A0H2UHM3	A5PJU2	A2IBY9
Q6NUN9	B2RUG9	P31016	Q2TA06	E2RDE8
P61077	Q9JJ66	D4A997	E1BNV4	J9P5Z1
Q8WY64	P81269	F1M6Q3	E1BHF6	J9P111
A1L0T0	Q3TL44	Q9Z2P6	Q0VCJ7	F1Q031
Q9UBB6	P15919	D3ZH40	Q58DV7	F1PQK8
Q15029	P80313	G3V817	F1N3G2	E2RIA8
Q8IZ73	P51885	-	-	-
Q13043	Q8JZQ9	A0A0G2KB42	F1MTC2	F1P9Q2
Q8IVL6	Q9DBG9	-	-	-
O75084	Q9EQP6	B5DFE3	E1BL53	F1PUU3
Q05397	P18762	Q9WVJ6	E1BHT5	E2RQA2
P12956	P35980	G3V8T4	A7YWH5	F1PQN3
Q9UN37	A0A0U1RQA8	Q68FX7	A0JNG1	F1Q0R0
O75530	Q8VI36	P68255	F1N506	E2QW70
P05141	Q9CUN6	B5DFE2	G3X757	J9NTL3
O43741	Q9CWK8	D3ZD48	F1MG57	J9NX08
Q9NY33	Q9DCJ9	Q63569	Q58CY2	J9P0T4
P37840	Q9DBR1	Q91Y81	B0JYP5	F1PI16
P25705	Q64337	A0A0H2UI22	Q3ZCH0	F1PEL7
Q9Y6C9	Q9JMB7	A0A0G2JUM3	-	-
Q9HB90	Q8CCS4	-	-	-
Q8TB72	Q6ZPJ3	Q6MG81	Q2HJ84	J9P4M2
Q86WU2	P46425	Q5RK00	F1N6W1	E2R7V4
Q8N884	Q7TQP3	Q5S6T3	E1BMG2	E2RKV9
O15551	Q9Z1F6	Q642F4	E1BD01	E2R7A4
O95471	P35917	R9PY04	G3X6E6	E2R413
A0A0S2Z6P0	Q08481	B2RYJ5	E1BL12	J9P0N9
O00442	Q8CG76	-	-	-
Q96F44	Q9D6W8	D3ZX38	F1N0W8	E2R0E6
Q9H078	Q9EQP2	A0A0G2JZ87	P11181	E2RFY5
O15143	Q8CHW4	F1MAA3	E1B702	E2QVV7
P61160	Q9JJA4	D3ZN39	Q3T168	E2RGS7
P27797	P10107	A0A0G2K0Y2	P79136	E2RSV7
P08621	P19091	Q6TMG5	F1MLS5	F1Q3W0
O00182	A0A087WPJ6	B2RYC7	A2VDZ3	F6V718
P23634	Q6PAR0	-	-	-
Q96P16	Q9D1A2	F1M4Q6	A4FV83	Q30437
P57678	Q9CPS7	G3V8L9	-	-
Q9NVI7	Q6PDG5	Q66H47	Q3SZ40	F1PKU7
Q9UJZ1	P61620	D4A3E8	P31976	J9P4H4
Q09028	P84244	Q5XIB0	G3X7W8	E2RPM5
Q6WKZ4	F6U5V1	D3ZRA6	F1MYS0	F1P9P5
O94868	Q80U63	B5DFD8	F1MSC2	J9P856
P98173	Q9DBT5	Q66H12	Q70E76	F6XWH0
P46777	Q3TE40	G3V6H2	E1BNY9	F1PHH4
P61254	Q569Z6	F1LSG4	F1MX51	E2R068
O60841	Q6NZM9	G3V798	P61085	F1P7L9
P06454	Q8BH80	A0A140TAB8	F1N365	E2QZF1
P62244	Q9Z1X4	Q3ZAV2	A7Z066	E2RQC9
Q13151	P84104	D3Z822	A5D7J6	J9P1X3
Q14155	Q9CWX9	-	-	-
Q9NV70	P28740	Q5XI26	Q56JW4	E2RJZ2
Q9H2H9	Q91WQ5	G3V8U6	F1MLY0	L7N089
Q9H936	A0A0A6YWS6	Q2PS20	Q3ZBX7	F6ULD4
O00264	A2AAX3	F1LXQ7	E1BJH3	F1Q2Q6
Q8NBP7	Q61879	D4A9R4	E1BEM3	J9P3T7
P09874	Q9QXS6	P06761	P0CG53	F1Q3H1
Q96L91	Q8K4G5	-	-	-
C9JAW5	Q9D9T0	A0A0G2K7K7	E1BB04	F1PGN4
Q9Y5E8	Q62209	M0R536	F6R621	E2RGF5
Q9H2W6	G3UZ62	F1LMW3	G3N182	E2RPZ6
Q9UJS0	C0HKE9	F1M7B8	Q2HJ49	E2RDB5
P53396	Q9WVA3	P09606	E1BC67	J9P3A3
Q9UNF1	Q9R1P3	Q5RJM0	F6Q3P6	F1Q1F6
P25025	Q61124	P61214	Q2HJ99	E2RF34
Q16531	Q9WVJ2	G3V7N4	Q3T0G8	F1P8X2
Q9Y297	P52479	Q9WUD9	F1MYX8	F1PKW7
P10644	P62334	D3ZNI3	F1MGM4	F1PLV9
P19021	Q3TL33	-	-	-
P07954	P0C605	-	-	-
P50238	O35526	Q5PQL2	F1N0L2	E2QY91
P09619	P61202	F1LRB8	Q2KIT4	F1P919
Q03135	Q8VDJ3	A0A140TAD2	E1B7W1	E2RE73
Q9GZR7	Q8VI75	B2GV41	Q5E9B1	J9PAR1
Q9H6R4	Q3U4S0	F1LWJ6	F1N196	E2RNN2
Q70EL1	Q65CL1	Q5BK82	E1BHW8	J9P9U0
Q8IV13	Q8BHJ7	G3V906	F1MYX6	F1PL95
Q86SJ6	Q8K2Q0	F1LQ07	F1MXH7	J9P9V8
Q92636	Q8K595	Q68FU5	F1MVT6	F1PKE7
P69905	Q8VCG1	F1MA61	A6QLT9	F1PIY7
P38398	P11499	-	-	-
Q86W56	Q8R124	P41034	F1N7F9	E2R694
O43679	Q07440	D3ZRL2	F1N1G1	E2RGY3
Q96NA2	Q9D0E5	A0A0G2K687	E1BPS0	F1PKY7
O00505	A0A286YCI8	F1LSM0	O62664	E2RCX0
P05062	O08523	O35790	E1B8J7	F6XGX8
Q99757	Q91Z38	G3V7P1	F1MKU1	E2R3P2
P40939	Q9Z1M8	M0R919	F1MV75	F1PQX4
P55286	Q8BIZ6	D3ZVS6	A5PK29	F1PJH9
P34947	Q91VE6	B2GV01	F1MN19	E2RRK1
P03372	P19785	B5DF02	-	-
Q00610	P62983	Q09073	Q3T0K2	E2RJX4
P48443	Q9D0J4	Q5BJY4	F1MED8	F1PC25
Q13554	Q8VE47	-	-	-
Q2NL98	A0A075B6A0	Q9JJM4	F1MK42	F1PJK9
Q92731	Q8BKJ9	P29534	F1MFT4	J9NS71
O14617	Q80Z37	D3ZU51	-	-
O96018	Q9D0M0	A0A0G2JXW5	E1B884	F1PK60
Q96BW9	A0A0B4J1G6	Q7TP34	E1BLT5	F1PIE8
P51946	Q02956	-	-	-
P51671	Q8R2R1	P22909	F1MF62	J9PAT9
Q9NPB9	Q99PM0	-	-	-
Q96EY1	Q05BA5	-	-	-
O43291	P32261	-	-	-
Q6NZ67	Q99K82	G3V760	Q3ZCK5	E2R4D5
O14497	Q52L64	O70601	Q3SZ99	F1PS26
P25685	Q7TSJ6	-	-	-
Q7Z4Q2	Q9DA47	B4F7C7	F1N4H9	E2RNB9
Q96B77	A2RTS7	D3ZKT0	F1MPM0	E2R3F7
Q99445	Q80U19	G3V970	-	-
Q9BZ76	Q62417	Q91XQ2	F1MCL3	J9PAE8
O95067	Q8CJF8	Q5U2Z2	Q3T0L2	E2RRC6
P38936	Q62108	Q5XIF4	F1MM83	F1PGY4
Q13322	O88685	A0A0G2QC09	F1MJ46	E2R4X9
Q9Y6I4	Q9EP89	-	-	-
Q8NCN4	Q9CYT6	A0A0G2JTN7	F1MCP1	J9P2J9
O14492	O08709	A0A0G2QC50	Q3T0E5	F6XXD6
P43405	A2A513	G3V9H8	Q32LE1	F1PR68
Q9BXS5	P97504	Q5FVK9	A6QQ10	H9GW55
Q9UBL3	Q62420	-	-	-
Q13263	P07356	Q3MHU2	P19858	F1Q2F6
Q8TF47	Q9D6P8	Q9JIP0	-	-
Q16513	Q8K358	Q64623	E1BMV0	F1PZG6
Q15796	Q61140	D4ACW1	P26452	F1PQ93
O75446	F8VPZ3	D4A9E7	A8YXY8	E2R889
Q9H7L9	Q3UCQ1	D3ZU57	G3X7R5	F1Q4J4
Q8IWV2	Q91XW8	Q4KLY7	F1MS75	F1PEB5
Q8IXL6	P31257	Q6MFY8	E1BLC8	J9PBA7
Q9BPY3	Q9D1E5	F1M5N7	F1MIT3	J9NXB6
Q9BZL6	P28658	D3ZY39	A6H7E3	J9NT37
Q9Y3R0	Q60929	A0A0G2K318	A7MBG2	J9NVU3
P53567	P62627	P63090	A6QQU9	E2RG08
Q08881	Q07813	D4A1H8	Q2KJA2	E2RHY7
Q9H944	P70331	O35274	F1N2F9	E2RSY7
Q9BSL1	Q9JKX4	A0A0G2JZ70	Q3T108	F1P7M0
Q9Y6B2	Q6PGN3	D3ZHV2	P29473	-
O00159	O35261	-	-	-
P23528	Q8BFY9	G3V679	E1BKP4	F1PD83
Q12756	Q6VH22	A0SZW2	F1MD62	E2RC91
O95295	Q8K1N2	Q4V7F5	A5PK70	E2RCV3
Q01082	P08103	B1H269	Q3ZCK1	E2RLU4
P17035	Q61703	P29101	-	-
Q16659	Q60I23	A0A0G2K134	F1MQ18	F6XPD0
O95544	Q9CX11	A0A0G2K9X2	F1N4K4	F1PBB0
P30305	E9QNV2	A0A140TAA4	F1MSR6	F1Q1Z8
Q8TF46	O88693	-	-	-
Q9NQT4	Q9JIF9	-	-	-
Q9H4L4	Q07076	Q71TY3	A7E323	A0A1W2NCW3
Q00987	P14142	P60711	Q95M18	F1PVY3
Q92619	Q99ME3	F1LQ62	E1B8I9	E2RPX3
P50281	Q8R121	A0A0H2UHL7	G3MZ17	F1P8I6
Q99727	Q6ZQG1	Q5I0N4	F1MRP1	E2R5S4
Q8TB96	E9PV21	P10759	G5E527	J9P7K2
Q9H5J8	Q810U5	D3Z9M9	Q865B7	J9NXW6
Q9Y6X2	Q4KL18	Q66HF7	A4FV57	J9NVU5
Q8WUK0	Q8BVN4	M0RD05	A7E303	-
Q9P286	A0A0R4J0J6	D4A7L6	Q148F6	F1PWK3
Q9BU23	Q8BKG3	P07756	F1N399	F1PJ74
Q9UNA3	Q8QZY6	Q32Q07	F1MKR2	F1PAK0
P68363	O54734	G3V6T1	F2Z4J4	J9NU10
Q99836	P62325	-	-	-
Q99457	B2RU90	O08718	Q58DI7	F1P9H3
Q99497	Q8R2Q6	D3ZGS3	Q1JQA2	Q8MKI5
Q9HCM4	Q9D1P2	D4A401	F1N510	E2QY85
P35712	P43137	Q63434	E1BDY2	E2QWM2
P48431	Q8BUN5	A0A0G2JSI8	F1MJ55	E2RQC4
P29320	E9Q6Y8	G3V637	F1MZ93	F1PPN6
P98172	Q8C0L0	-	-	-
Q13895	P46664	-	-	-
Q8NF50	Q9ESX2	D4A5H4	F1MN65	F6XEE7
Q02763	B1AVF5	Q76LI5	G3MZS2	F6XQ10
Q05209	A0A0R4J0F6	Q4QQV1	F1MZY2	E2RL43
Q5T447	P58463	G3V7U0	Q05B92	F1PHL7
O60603	Q9R1T2	-	-	-
Q02750	P06745	E9PTF3	G8JKV6	E2QSE3
P36915	Q3UMG6	D4A7C3	F1MD61	F1PCW0
Q13310	P60766	D4A962	A6QLA6	E2R5T9
P56539	Q8K4P8	Q9Z0Z2	-	-
Q96GE4	P05532	Q6AYH3	Q3ZBM4	F1P9G8
O60287	Q06185	A0A0G2JSJ5	E1BF96	F1Q1E1
Q9P031	Q62384	Q9JJ19	A0JNH5	F1PW00
P30837	P97379	G3V824	Q3ZBV8	F1PX50
Q9UMZ2	P05622	A0A0H2UHV9	E1BPR9	E2R9S0
P08238	Q01853	-	-	-
P52630	P50540	D2XV59	A1A4R8	L7N055
Q49AM1	Q6P9N8	D3ZF46	-	-
Q86VZ4	Q8VBX6	M0R3T6	A6QR12	E2R0F5
P02746	A0A0R4J0R1	G3V8L4	C5NU11	E2R3I6
Q70CQ3	Q80XR2	I6L9G5	A6QP79	F1PFH3
O00204	Q9D312	Q7TNK3	Q2KI11	E2R3W6
P14621	Q8BWH0	D4A6P1	A4FV37	J9JHY8
O43251	Q62465	A0A0H2UHQ0	A2VDN8	J9P782
Q99700	P61089	Q9QYN5	Q6XBT4	F1PJL8
P13645	Q3THE2	D3ZI68	G3MWV5	E2RJ26
Q05D08	B2RXM5	A0A0G2K288	E1BIP4	F1PCF0
P28288	Q91YI6	-	-	-
Q9NPL8	P24788	Q63722	A4IFI9	F1PQU5
Q9UHQ4	Q6P3E7	Q5BJS6	F6RAG5	F1PYL2
P31943	Q99KP6	P60517	G3N1T2	E2RIQ8
P04264	Q6A0A9	Q6P6V0	E1BJB1	J9NXM6
Q5XKE5	Q8C4D5	B5DFM8	E1BD73	E2RKG4
O00425	E9QPE2	G3V738	E1B864	E2QSK6
Q99538	Q60737	A0A0G2K4Y6	E1B8C0	Q8MKD5
P29353	P84091	Q9JMJ4	F1MCT8	F1P7N8
O76011	Q8BTJ4	Q9QZN9	E1BBL2	F1PAR1
Q9GZL7	Q8BMJ3	D3ZIN7	A6QPK5	E2R465
Q9NRC8	P62908	Q7TP21	Q2HJ23	E2RQU7
P01009	Q9CPY0	-	-	-
P02751	P11276	-	-	-
P35232	P63087	A0A0G2K4Y2	Q5E954	J9NRV4
Q07021	Q9Z2V5	B2RYH5	Q3B7L9	F6UVB9
P53539	Q80UY1	Q9WTQ9	-	-
Q9UJW3	Q9D684	D4A2V7	F1MJ11	F1PHF1
Q14681	E9Q2V5	M0R7W7	-	-
Q5JRV8	P32848	Q6QD51	F1N7G5	J9P5J4
Q5VVX9	Q8CDF7	B5DFJ4	A6H7I4	E2R287
Q9Y508	P49722	F1M9C4	E1BA05	J9NRP8
Q96FW1	Q8BTI8	P61589	E1BJB4	F1PCQ4
Q92759	Q62132	D3ZRE0	A2VE01	F6UQZ9
Q9Y3C5	P16277	-	-	-
Q7Z3B4	Q8CHD8	P61150	F1MVX8	E2R3L9
Q8IX01	Q9CYR0	A0A0G2JTV2	F1MNN4	E2RKN5
Q99496	Q76MZ3	-	-	-
O15379	Q9ERU9	Q5XIM7	F1MTF0	F6Y3P9
O60229	Q8VHG0	B0K014	F1N070	F1PZR6
O15498	O88485	Q00728	F1N0Q7	F1PLZ1
Q13077	P70677	Q9JJP6	F1MGR9	J9NU05
P62888	Q922B2	D4A8P8	Q2TBQ5	J9P0V9
P13612	Q61188	G3V8S5	A7MBJ5	J9P8M2
P60842	Q920Q6	B4F7A9	F1MLV1	F1PNY7
Q9HAW0	Q8R2L0	Q4QQS9	F1MUR6	E2RHH7
Q9P035	Q8BX17	G3V968	G5E6N7	F1P6M9
P62736	Q9JHU4	A0A0G2K2C7	P12234	F1PL92
Q8NFZ0	Q5HZJ5	B0BMY7	E1BDK7	E2RJN1
Q9P1W9	P58468	D4A584	Q32L41	F1Q2D4
Q96GG9	Q99J95	Q6AZ64	E1B8E7	F1Q2Z4
P59990	Q6ZWR6	F1LV07	F1MRD8	F1PR20
O60884	Q62261	Q5XIF6	F1MFD5	E2RMN2
Q7Z6Z7	Q7TMY8	D3ZZ80	Q3ZCC3	E2RCF7
P06753	P62331	F1M5R1	F1N0K9	E2RLL6
Q01094	Q61084	D3Z9Z9	A6QLV0	F1PUW6
Q14140	Q62053	D3Z9D0	A5PJQ6	F1PY25
P62310	A2AQ14	D3ZSG1	-	-
Q9H9D4	P49766	D3ZAE9	E1BAD9	E2R5G4
Q9UBX5	Q9CZ42	D3ZV26	Q0IIL5	F1PWW2
Q6ZVM7	Q8BIF0	A0A0G2K9Z7	F1MT41	E2R0N2
O43639	Q8BX09	Q5BK32	-	-
P26373	Q921M3	P62919	F1N4N6	F1PN49
Q13616	P07901	-	-	-
P46821	Q99K48	Q9JIH7	F1MXG8	F6X520
Q4G0J3	Q9JHF5	O70454	F1MIZ9	F1P8M0
A0AVT1	Q9D091	-	-	-
P07766	P40936	-	-	-
Q8N2G8	Q8R1S9	G3V9J5	A7YWG4	J9NWV7
P27708	Q9WTI7	P42346	O46629	E2R9A2
Q15628	P70444	A0A0G2K283	Q2KID9	F6XMH3
A7MCY6	Q9D742	P20280	F1N377	J9NW40
Q8WW24	I7HJI5	P10111	A5D7P4	-
Q9H9E3	Q6ZPY2	M0RAA8	G3MZL0	E2RCJ6
P22314	F6ZFU0	D4ACL8	F1N632	F1PVA9
Q5SVS4	Q61626	D3ZL45	F1N2I0	E2QW90
Q9H596	Q9ESY9	D4A9B0	G3N218	E2R486
Q86TJ2	Q61462	G3V788	F1MTJ1	F1PNZ8
P22681	Q8CJG1	O35346	F1MDC9	E2QZ71
P62195	Q9D880	D4A7D3	P49410	E2R624
P36894	A0A0A6YVZ7	G3V9N2	G1K200	E2RIR5
Q8IXK2	Q3U4H6	A0A0G2JYI8	Q2KIV0	F1PKF5
P07900	Q6P5F9	P35213	E1BE83	F1PU58
P51610	O55029	G3V744	A6QNL5	F1PBF9
P49336	Q9QZS3	G3V9Y6	P19803	E2QTG4
Q8TEQ6	F6RGI3	F1LZW6	F1MUV0	E2RM84
Q9P260	Q8BND5	B2RYU3	Q32PA1	J9JHG7
Q9UKI8	Q00288	A0A0G2JZ04	-	-
P05089	P58389	D3Z8I9	A1A4H6	J9PAV6
Q96JZ2	Q8JZU6	D3ZAG6	F1N3Q8	J9P9Q2
P31040	Q62432	A0A0G2JTG7	E1BDU8	F1PRD1
Q5T9C2	Q02739	Q9EPR9	E1BDC2	E2QVT4
Q99961	P56581	Q75Q41	Q2KID6	E2R0U3
P59190	E9QM92	P50575	A4IFK2	F1Q133
Q9Y2J0	F8VQE9	D4A4W8	Q148G9	F1PUV3
P37088	Q8BZ36	A0A0G2JZ23	E1BDP4	F1P657
Q8TD30	Q9ES64	Q5XIA1	P24275	F1PK43
Q9NWV8	D3Z393	D3ZPJ1	A4FUB1	E2QZ39
A8MT69	O09039	D3ZF35	E1B815	E2RE97
Q8N2Z9	Q9JI13	P07483	F6R277	E2R868
P55084	Q99KG3	Q5XHZ0	A0A140T886	J9JHD4
Q5U5Q3	A2AEG2	P55213	Q3ZBD7	F1PL57
P35998	Q9QZD9	P84092	Q6B856	E2RCI5
O75830	Q9JKX8	Q5XI95	F1N7G6	J9NUG5
O75531	A2APR8	D4A069	F1MD86	E2R2S9
O95232	Q91W50	Q5XI28	F1MTZ3	F6XTU7
Q8WUM4	Q9Z1Q9	E9PSY8	A6H7B5	F1PJ63
P31944	Q8C170	Q68FV8	F1N4Z5	E2R0G2
Q70EK8	Q8BVW7	-	-	-
A8K0Z3	Q61249	D3ZJ17	G5E5P6	E2RG69
Q641Q2	A0A140LIR2	-	-	-
Q9Y5U2	Q91YT0	G3V845	Q0VCU4	F6X571
O00471	P63056	D4ABX9	F1MQM2	F6XR66
Q96NE9	Q9Z0F4	Q08602	E1BHU9	J9PAM7
Q9NQ11	Q9D799	F1LQD1	Q0P5J9	E2RSI5
Q9NX76	Q8CII9	-	-	-
Q96PU5	Q8CCF0	R9PXV5	Q1RMI8	F1PFI7
Q9P0N9	Q8K2P6	F1LM87	P23439	F1PMB3
Q9GZM7	Q8CCN5	D3ZCN1	G3N106	Q9GK08
Q9NZT1	Q8BHE8	D3ZVR4	F1N1C3	J9NUA3
P36578	Q8BFR5	G3V7L6	G3N262	E2RAU5
O75955	Q6P9P6	E9PTN4	A6QLR2	E2REF0
Q9H8Y8	Q9DAT2	D4ADZ0	E1BKT0	E2RGW9
Q8IUH3	A6H630	Q5M8C6	E1BG23	F1Q4F1
Q9Y316	Q9ES52	Q3B7D0	Q1JQD2	J9NT35
Q15637	Q9QXS1	Q4KLK7	Q8WN55	E2R8D6
Q5VWP2	Q91YA2	-	-	-
Q96KS9	Q9JLC3	B1WC58	A6QQH1	E2RHG6
Q9Y5S2	Q80U56	D4AD21	F1N7E1	E2R115
P20645	Q8K4F6	P55068	Q58DF9	E2RF15
Q7Z5A9	A2ACT7	Q5M834	G3N1N5	F1Q2E6
Q8IYF3	Q9CZB9	O54702	Q2HJF2	J9NVL1
Q96GY3	A0A0R4J057	-	-	-
Q92551	Q8K0G5	D4A197	F6QYC3	F1PBD8
P51003	Q02819	Q7TPL3	F1MVI1	J9P013
O15131	Q9CQM2	G3V8G2	F1MND3	J9P5U2
Q15532	O70589	Q6IMZ5	E1BCI2	F1PTR8
Q92784	O88566	V9GZ88	F1MRK2	F1PIC8
P23229	D3YXQ7	D3ZTB4	-	-
O95433	Q80U72	Q6IRE4	A4FUD0	J9P8P4
P62899	Q9CQ71	Q3B8Q2	A5D973	F1PKR6
Q03001	P61965	D3ZAZ0	F1MNT1	E2RCZ7
Q96JM4	P97493	Q4QQW2	Q0VCN2	E2QWU4
Q9NZM4	B2RXR6	D3ZKB4	G3MYM4	F1PFU1
P28562	D6RH56	D3ZFD2	E1BIW0	E2RG59
P61024	Q9Z131	A0A0G2K2N3	F1MQH0	F6V5Z8
P62277	Q3U1J4	P05197	-	-
P62424	Q9D0E1	D3ZXP3	Q3SWX9	F1PV84
P17693	Q8K3B1	D3ZHG0	Q3SZ33	J9NZS7
P43629	Q9Z1N6	G3V650	Q32KX6	F1PWI3
P78364	Q8K201	A0A0G2JUZ4	-	-
Q14244	Q3TLD5	M0R6T8	Q28104	F1PSQ4
Q8TF05	Q7SIG6	F1M2B6	G3MZ35	E2QZU3
Q7Z572	Q9DBK7	B5DF80	Q32L46	F1Q3S0
Q86VP6	Q9CQ60	P17325	E1BIN5	F1PGY1
Q7L2J0	Q8BWG8	Q66X93	Q2T9S0	F1P8M8
Q9Y224	Q62406	Q5PQN9	Q3SZN4	F1PE72
O43464	Q5QNQ6	Q66H56	E1BHG2	E2RBG4
P55060	Q8CF89	F1M5A9	A1L521	E2RRC2
Q8NI77	Q7TQP0	Q5XID0	E1BEZ3	F1PBE5
P01106	P97377	A0A0G2JTP3	-	-
P30279	Q8CBC7	-	-	-
Q14676	Q60636	D3ZKY5	Q3SYW6	F1PS03
Q9UJX4	Q9JLQ4	A0A140TA94	F1MBY2	F1PU62
