O15116	P10598	Q91XL4	F1MRE1	E2R4V5
O00750	Q99M71	G3V698	G3MZ22	F1PPJ0
O60506	P60521	G3V8S5	Q3SZ11	E2QWF1
Q5T481	O35157	Q4QR86	Q2TBH5	E2R0S9
Q9BPU9	A2AQ25	A1KQY6	A7YWA1	A0A0A0MPA9
P06576	Q9EPL8	Q5XIM7	F1N0Y9	F1PCG5
Q9H0W5	Q9QZN4	-	-	-
Q15428	Q61183	Q76LI5	Q2TBG8	F1PAM0
P35408	Q8BRR9	M9MMM8	O02753	E2RN95
Q5VTB9	Q7TPG0	G3V711	Q1RMU0	E2QUY3
P24941	P63017	G3V8C3	-	-
Q9GZV4	Q80YN3	Q6AYG3	Q2HJC9	E2RMU2
P0DP25	Q9D8N0	O88767	A1XG22	E2QSP3
Q9BYC9	P10648	D4ADX8	-	-
Q96CB8	P58196	-	-	-
O43318	P39447	D3ZT03	F1MK61	F1P895
P58753	Q8R3K3	P84903	E1BIF7	F1PFQ1
Q07020	P27661	P22509	F1MSD2	F6XIK8
Q9H0B6	E9PUA2	F1LQT0	E1BK29	J9P774
Q9UGM1	P26049	P54287	A5PJN7	E2RH17
O14980	Q9CQV8	B2RZ55	P67939	E2RLQ9
Q9NVH1	F6Y9T6	A0A0G2JXI1	-	-
Q04917	A0A0R4J049	-	-	-
P35520	F6TQN9	Q6P6U0	Q56JZ0	J9P2G0
P51178	Q9D023	Q5PQL2	F1MPP1	E2RI61
Q9Y496	Q8BVF6	-	-	-
Q9NVR5	B2RUP0	G3V6P6	A0A140T886	J9P404
Q9Y5F2	Q2XU92	D4A1A6	P01272	E2RQX2
P11586	Q9CU62	Q3KR59	A3KN51	F6X520
P27694	Q91YI4	-	-	-
P30291	Q9CQS9	M0R5U4	F1MX52	F6X528
Q13526	P21126	D4A3X3	F1MJ55	F1Q2Q9
Q9UIS9	P81122	P07936	Q08DA3	E2QVW0
O95782	A0A1B0GS62	O35987	Q2KII1	E2QWR3
P62995	Q9CR62	G3V7G9	F1MUY3	E2RSV0
Q13242	P26516	A0A0G2K0E0	A6QQL9	E2R9B4
O43255	Q9JL70	D4AEH3	Q2KHT6	-
O76083	Q8BLQ0	D3ZJX1	E1BF74	E2RCJ2
Q96GM5	P08071	F1LPP2	E1BCZ9	J9P6K0
P60468	P63040	-	-	-
Q9HBM1	A0A0R4J030	Q8VIP3	Q17QM6	F1PR26
P08236	Q8BR07	D3ZEI4	-	-
Q6P587	Q8CJ96	Q5FVL6	A4FUB1	E2RL24
O14753	Q4FZG9	Q5XI77	E1BP45	E2RRL6
Q9ULX9	A0A0R4J0I0	D3ZPX3	Q3SX22	F1PE25
Q15024	Q9DAX9	P36364	F6R1Y7	E2QYJ3
Q15797	P49717	A0A0G2K9T1	E1BKH5	E2RBX1
Q8IWI9	A2AD39	-	-	-
Q12873	P31266	D4A2R5	F1N3P2	E2QWG3
Q9H444	P81269	P02767	Q1LZD3	F1PLD7
O60831	Q6PJN8	D3ZEI2	F1N2G1	E2RA04
Q5VIR6	P00416	Q5U2U3	G3MYR6	F1P9F4
O60885	Q8VCN5	-	-	-
Q6P1J9	Q9CPU7	-	-	-
Q9NTN9	Q62148	Q569B5	A7E330	F1PTA2
Q9BWF3	Q60676	F1LM33	Q5KR47	F1PFY2
O95931	Q8CII8	D3ZV21	F1MWV1	J9NVQ6
Q8NDX5	E9QPE7	A0A0G2K0J4	A5PJI5	J9P6H6
P49841	Q9Z1E3	Q3B8N8	Q3MHR5	J9NXV2
Q99062	O55047	D3ZHP7	Q66LN0	F1P949
O95470	A0A0N4SUL9	P70563	Q3T0H0	F1P664
P51659	P52875	D4ACG2	F1N6T8	E2RJU5
P62993	P09405	P46462	G3X757	-
P63104	P97310	A0A0G2JSP3	Q3T0F9	F1PU58
Q07890	Q6P1G0	H1UBN0	F1MHH3	Q9N280
Q92997	P09411	G3V852	E1B782	E2R027
Q9Y2G4	Q9D516	B2RYA8	Q0II68	F6XR14
O75533	Q9R1C7	B2RZ23	A5D7D1	E2RNU4
Q9NY26	F6TUL9	A0A0G2K947	A6QP29	J9P3X1
A8K8V0	B1AXP3	-	-	-
P60331	Q9CR96	D4A731	F1MX43	F1PXZ4
Q86X29	Q8BS90	D3ZE01	E1BHN5	F1PZH9
Q99717	Q921T2	A0A0G2JT90	A6QNS2	O46674
Q5VZ89	P97441	-	-	-
Q9BQK8	Q9CQ62	-	-	-
Q15750	Q9Z1S0	Q8VIL3	E1BNG7	E2R7M4
Q8N6Y1	Q3V0G7	Q496Z2	E1B8B4	F1PQN6
P04637	Q80V62	Q80U96	Q3SZ25	J9P383
Q96EQ8	E9PWW6	Q5FVS4	Q0P5B9	F1Q2X9
Q14790	Q9DCT2	F1LMV8	E1BM72	E2R536
Q9Y6E0	Q9EPJ9	Q9R1V3	P35508	F1PCM3
Q5JU00	A2A8W8	Q4G079	Q3T145	E2R771
Q16552	Q6PEE3	D4A7Q5	F1MPI8	E2R093
Q9BXL7	Q5U4C1	D3ZAN9	Q2NKS7	F1PRB7
Q92576	Q9CQ56	D3ZIN7	E1B7B1	E2RAG6
Q9UK41	O35904	A0A096MK92	P38447	J9P251
O15342	Q5DTV4	D4A3X9	F1MM93	F6Y689
P52569	Q9JLB4	G3V6W8	A7MBI5	E2R4M3
Q16222	Q9D219	E9PT91	E1BDB1	E2QV12
P27348	Q01853	B5DF45	E1B8D6	E2RFW1
Q96F86	Q99JN2	-	-	-
P0CG32	Q3U4I7	P24393	F1MME1	F1PR66
P48047	B2RS19	Q66HF1	A0JND0	J9JHK6
P08559	Q9CQM8	M0R7Q5	E1BPQ8	J9PBC5
P42166	Q921M3	D3ZL86	F1MW91	E2RJ26
Q9UPT8	G3X9I0	Q642A4	A7YWG4	E2RNI0
P07437	Q8BTM8	-	-	-
Q13546	Q810D6	P04906	A6H7B7	E2RMN2
Q13323	Q8BRW2	-	-	-
Q969F0	Q9WUU7	D4A067	Q2KIR8	E2R3Q6
Q3KQU3	Q9CQ40	D4A1C1	F1MN29	Q9TSZ6
P04406	P68369	P97536	Q8HYB6	F6XKL7
P04179	A0A0R4J055	Q66H28	F1MGJ6	F1P7Z1
Q13029	Q8C8Y5	G3V7D5	A8E639	J9PAW3
O43151	P14576	-	-	-
Q99623	P26040	A0A0G2K490	P45879	F1PQ93
Q9NZL4	Q7TT50	-	-	-
P34897	Q61140	O08629	G5E5D1	F6XRY2
Q8IXQ3	P62812	-	-	-
Q9BRX5	P39087	Q9JMI1	F1N0Y2	E2RFY7
Q9Y6E2	Q9WTN3	A0A0G2JY31	Q3SZC2	F1PXQ0
P51149	Q3TEA8	B2GV01	G1K218	E2R4C7
Q7Z4R8	Q9R0B7	-	-	-
Q6NUN9	P68372	Q794E4	F1N169	F1PQC4
O15400	Q9DC51	P97949	A3KMY7	E2RB45
Q8IWZ8	Q8R3V6	Q4QQV2	-	-
P61077	O54734	P35465	Q1JQA2	E2RKA7
Q8WY64	O35926	Q5QJV4	F1MES3	J9P2B6
A1L0T0	Q9JLI8	M0R6E6	A5D7E8	E2R4B2
Q9UBB6	F8WIG2	D4A331	A2VDR8	E2QYE1
Q15029	P35700	P85108	Q2HJ94	F1PEL7
Q8IZ73	Q8VE97	Q497A9	F1MWB6	F1PQ83
Q13043	Q60960	A0A0G2K134	F1N3W8	E2R2S9
P48023	Q9CR40	-	-	-
Q8IVL6	Q8BJX2	A0A0G2K6F1	Q2KHY1	E2R1A7
O75084	P70385	Q3ZAU6	G3X7L0	E2RR41
Q05397	E9PWI3	P53042	E1BDU0	F2Z4Q6
P12956	P80318	Q4QQW4	P67774	E2R6Q2
Q9UN37	Q66T02	A0A0G2K2B5	E1BH31	E2RCD7
O75530	Q60952	Q5U328	E1BK00	F1PCD0
P05141	Q61753	P68136	Q2TA25	E2RJX4
O43741	Q00731	A0A140TAA8	-	-
Q9NY33	Q8QZR3	D3ZQN8	F1MKS6	E2R415
P37840	Q5SV80	D3ZJT1	E1BCP6	F1PQM2
P25705	Q7TPV4	P82808	Q2KIR1	E2RBV8
Q9Y6C9	O55187	A0A0G2K6B1	P02510	F1PBF9
Q9HB90	Q8VBX6	G3V7I8	E1BH79	F1PDH0
Q8TB72	Q3TP92	B1WBY5	Q3T100	F1PWP9
Q86WU2	Q9EQ14	G3V965	A6QPK3	E2RMT2
Q8N884	O88689	P0C0R5	A5PK19	F1PSV6
O15551	P70388	-	-	-
O95471	A6H8H5	D4ACD8	F6Q615	F1PMH8
A0A0S2Z6P0	Q9D842	B5DEH3	F1N4N0	E2RGK0
O00442	Q8QZY9	A1L1J8	G3N2L2	J9NRF6
Q96F44	Q99JH8	D3Z9E1	P02465	F1PC17
Q9H078	Q6PGC1	D3ZUJ5	G3N106	F1Q1P8
O15143	Q8CF89	D3ZDK2	E1BKC3	F1PRA7
P61160	D3Z1K6	D3ZDP2	A0A140T892	F6UME0
P27797	P49817	D4A3S8	G3X7R8	F1PFG6
P08621	P62196	D3ZD97	F1MGM4	E2R2U3
O00182	B2RW11	-	-	-
P23634	Q64430	A0A0G2JTP0	F1MUS6	F1PPG1
Q96P16	Q9ESJ0	Q496Z9	A4FUG9	E2R6F3
P57678	Q3UJB0	P36876	F1MHM7	E2QX84
Q9NVI7	E9PUH5	Q3MIF2	F1MXY8	F1PBJ5
Q9UJZ1	P62996	G3V7C6	Q5E9E6	E2R4L0
Q09028	Q8BP92	Q05096	F1MLE8	E2RNC3
Q6WKZ4	Q80X71	-	-	-
O94868	P51175	P22462	F6R951	E2R8W7
P98173	E9Q226	Q5RJK3	Q866T7	F1PA48
P46777	Q922I7	P84092	Q3T0Y1	E2RCN3
P61254	Q9Z1B7	Q9R019	E1BM48	E2RHC4
O60841	P58801	Q8CGU6	F1MNL8	F6XD36
P06454	E9PYV1	A0A0G2KA50	F1MMB9	F1PKY2
P62244	P62751	D4A9L2	Q2T9S0	J9NU10
Q13151	Q3U741	-	-	-
Q14155	Q3UNH6	Q62991	F1MNI5	F1P9U0
Q9NV70	Q920U4	F1LWY1	Q3T005	F1PVI3
Q9H2H9	Q9R210	P14668	-	-
Q9H936	Q5U4B1	Q5XIP6	Q3B7L9	E2RPY9
O00264	F8VQL0	Q6MGC8	Q32PA5	E2RPT1
Q8NBP7	Q8BNV1	F1MAN8	G5E543	-
P09874	P97855	-	-	-
Q96L91	Q9WUM3	F1M3F2	Q3ZBJ1	E2RKQ0
C9JAW5	Q91YD1	A0A0G2K1J3	E1BFT9	E2RMM8
Q9Y5E8	P31240	F1MAP4	E1BL01	E2RP34
Q9H2W6	Q9DC53	-	-	-
Q9UJS0	O35459	M0R5N4	Q1JQD9	F1PMM3
P53396	P00405	A0A0G2K4Q4	E1BGS8	E2RKN5
Q9UNF1	Q8K205	D3ZUK4	Q148J6	J9NST7
P25025	Q80VV3	-	-	-
Q16531	P60335	Q6AZ64	E1BDM8	E2RR01
Q9Y297	Q8BFR5	P62198	Q3T0B6	F1P7V6
P10644	P17426	D4A1B9	P31404	J9JHD9
P19021	D3Z224	D3Z8R9	F1N173	F1P8I2
P16220	A4QPD3	G3V845	G3N263	F1PYQ1
P49715	Q99104	Q63117	F1N3C8	E2R4P0
P07954	Q99JB8	D3ZEM0	-	-
P50238	A2APS1	P45479	F1MJ12	E2QRX9
P09619	Q61501	B5DF98	Q08DX5	F1P750
Q03135	Q9Z0Z3	P30277	G1K134	E2R3E1
Q9GZR7	P97311	P31977	A4FUD0	E2RSU3
Q9H6R4	O08710	D3ZV81	F1N4M5	F1PUF8
Q70EL1	Q9ESX4	Q5BK76	A6QLB8	E2RBQ6
Q8IV13	Q8R4H7	G3V6Y9	F1MAZ0	F1P8I7
Q86SJ6	Q8K410	Q9Z0U8	F1MW25	J9NYG6
Q92636	Q8K4D3	F1M278	E1BPX4	F6Y448
P69905	Q8CHT1	F1M6P8	G5E6Q2	E2RIB4
P38398	P70372	P10361	F1N7F3	F1PF03
Q86W56	O88199	D3ZDV9	F1N2A5	E2R8A2
O43679	Q8BX90	Q499S9	A7YW37	F1PU87
Q96NA2	P10629	P48750	G3X763	F1P695
O00505	Q8BFT2	P23574	Q3ZC48	E2RFC6
P05062	P62309	D4AA11	A0A140T898	J9NWW4
Q99757	Q8C804	G3V9Q6	Q1RMK5	A0A140T8E7
P40939	P17427	G3V9Q4	Q3T165	J9P5Z1
P55286	P50615	P60123	Q2TA28	E2RL64
P34947	Q7TMM9	Q6VEU8	F1MUZ0	J9P1U4
P03372	P01108	-	-	-
Q00610	B2RQC6	-	-	-
P48443	Q9D3J9	D3ZJH1	Q58DU8	E2QYQ8
Q2NL98	Q3TS89	D3ZX09	A7YY41	E2R4P4
Q92731	Q8BTS0	P68511	Q0IIE2	E2QSF4
O14617	Q62141	A0A0G2JVM7	F1MX40	F1PAI1
O96018	Q99LC3	-	-	-
Q96BW9	P07147	D3ZRF0	P03887	F1PUW0
P51946	Q5SSG5	F1M7Y3	Q3ZBE1	E2RDF6
P51671	Q9EPT5	Q7TP28	F1MUT3	E2RPA8
Q9NPB9	Q9D1D6	A0A0G2K2F0	Q05B81	E2R005
Q96EY1	Q80Y84	Q6P6V0	F1MWG7	F1PKU7
O43291	Q9ER00	A0A0G2JSV4	F1MTI2	F1PIH1
Q6NZ67	Q9WVK4	Q5BJN2	A7MBI0	F1P874
O14497	Q924T2	Q62651	A6H7I4	E2R8Q3
P25685	Q9JIK5	D3ZTK5	E1BH89	E2REX8
Q7Z4Q2	D6REV1	B1H257	A6QNP0	J9P592
Q96B77	Q8VCU2	P05765	A5PJL8	E2RKB2
Q99445	Q61984	P81278	F1MRY9	F1PS18
Q9BZ76	E9Q6L9	D3Z8L1	E1BDK3	Q5W418
P38936	Q61166	P55063	E1BBQ3	E2RPM8
Q13322	O70194	B0K035	F6QYV9	J9NYU4
Q9Y6I4	Q6NWW9	-	-	-
Q8NCN4	P56528	-	-	-
O14492	D3YV92	-	-	-
P43405	P16872	D4ACL8	F1MMS4	E2QWM9
Q9BXS5	Q3UCV8	Q66HD6	F1N0E8	F1PEJ5
Q9UBL3	P24527	Q5BKB0	F1MNS4	E2RSD0
Q13263	P38647	B2RZC6	F1N0N9	O18840
Q8TF47	Q8VHH8	F1LUD3	F1MG95	F1PAC4
Q16513	P46467	Q4G059	A7Z056	F1PGC3
Q15796	P39429	Q80WE1	Q5EAB2	F1PU46
O75446	Q62417	B5DFM2	Q58DB9	J9NVH2
Q9H7L9	Q3UHG7	P12389	G3N1Z0	F1PWS5
Q8IWV2	G5E828	-	-	-
Q8IXL6	P62862	-	-	-
Q9BPY3	P47741	F1LQL4	G3X8A0	E2RKU2
Q9BZL6	Q9Z1L3	D4AEG7	F1N7Y8	F6UPD5
Q9Y3R0	P57746	A0A0G2JZC6	Q2HJ98	F6Y241
P53567	Q09014	G3V7Q6	E1BL90	J9NXG3
Q08881	Q8K1Y2	A0A0G2JTV2	G3N025	F1PDA5
Q9BSL1	G5E8A7	P0C2N5	E1BPA0	F1PAH9
Q9Y6B2	O35449	F1LQZ3	Q2TBN8	E2QXL5
O00159	E9QP00	G3V7W1	E1BGF3	F1PB61
P23528	Q6ZQ88	Q561Q8	F1MWQ3	J9P539
Q12756	Q9D2Z8	D3ZZJ4	Q32LB3	F1PFG7
Q01082	P99024	P62919	F1MXG8	F1P9J3
P17035	Q9D1M7	Q32PX4	Q3SZF7	J9JHQ3
Q16659	P68510	-	-	-
O95544	P06332	A0A0H2UHC3	A0JNA1	F1PEI6
P30305	Q8VHR5	F1LNF7	A4FV98	E2R289
Q8TF46	Q6PE13	D3ZCM2	G3MZI9	F1PER0
Q9NQT4	P47968	Q5U209	A5PKD6	E2RGF6
Q9H4L4	Q9Z2D8	B0BNJ0	F1MP10	E2QYL0
Q00987	P68368	P29534	E1BJB4	E2RN45
Q92619	Q3UEW6	-	-	-
P50281	Q61701	B0BNL4	E1BPK1	B6VH75
Q99727	Q6VN19	B1WBR3	E1BKA0	E2R3P8
Q8TB96	Q8CI19	Q5M965	E1BGX6	F1PKY3
Q9H5J8	P97450	E9PT13	F1MY94	F1PCF1
Q9Y6X2	P97350	F1M642	F1N0E4	F1PPN9
Q8WUK0	Q8VCI5	D4A4F6	G3N137	J9NTC4
Q9P286	Q8BT60	A0A140TAB2	G3N277	F1PXT1
Q9BU23	A0A0R4J237	D3ZCS4	P49004	F6XYR9
Q9UNA3	P70186	Q99M88	G3MWG5	F1PIA6
P68363	Q9CR52	Q5U2S7	Q5E9F9	F1PX83
Q99836	Q571F5	D4A8C8	F1MKH7	F6UTK9
P43355	Q64524	A0A0G2JSW4	E1BGI8	F1P825
Q99457	Q8CJ70	F1LVV2	E1BAQ8	J9P3H7
Q99497	P86048	Q568Z2	E1BLI9	E2RQX0
Q9HCM4	Q6NZR5	D3ZAQ9	F1N0C4	F1PM93
P35712	P70302	D4A8T3	E1BNH2	F1P9L9
P48431	E9PXY8	B2RYH5	-	-
P29320	Q9R1P1	A0A0G2K8M2	F1N045	E2RHR9
P98172	A2AQH4	P29456	F1N4X7	E2QW58
Q13895	Q921I6	M0R3X4	F1MC86	F6Y2I2
Q8NF50	Q8CJH3	P29457	E1BIA9	E2RNN9
Q02763	Q8CDG3	D3ZGA5	G3N3Q9	E2RJI5
Q05209	Q9D0K2	-	-	-
Q5T447	G5E8J3	D3ZAK3	E1BEI2	F1P8S0
O60603	Q60862	Q499V6	E1BLT3	E2R528
Q02750	P84089	A0A0G2JX87	Q3ZBX0	F1PUE0
P36915	Q9CQC9	D3ZLX3	F1MQK9	F1PHZ7
Q13310	P28656	D4A720	G5E631	E2RJL3
P56539	Q9DB96	-	-	-
Q96GE4	P17439	D3ZWE0	F1N264	J9P3Y8
O60287	Q6ZWZ2	F1LV10	G3N1L4	F1P925
Q9P031	Q3TIU4	P06349	E1BDL7	E2RB01
P30837	Q3V2E0	Q01062	F1MN32	E2RLC0
P47985	B1AVK5	P18484	Q29RR9	F1P7I2
Q92624	Q5EE38	A0A0G2K0S6	F1MP46	F1PLN5
Q9UMZ2	Q8K031	Q6AXT3	E1BJE5	Q9GKP2
P08238	Q61545	P09416	F1MYX8	F1PIC7
P52630	P61961	R9PXV7	F1MDD8	E2RRF1
Q49AM1	O35474	F1M6Z0	Q5E9Y6	J9JHT4
Q15165	G3UX29	A0A0G2K0G0	F1MEZ2	J9PAS0
Q86VZ4	Q60754	D4A503	-	-
P02746	Q8BZL8	P05065	F1MCR3	E2R824
Q70CQ3	Q7TPG5	-	-	-
O00204	E9QJV1	G3V8M7	-	-
P14621	Q9DCL2	P35353	E1B763	E2RP58
O43251	B1ATZ1	Q68FP1	G3MZE2	E2RJ76
Q99700	Q8BTW9	D3Z898	Q3ZCH8	E2RAC6
P13645	Q9ESJ4	Q5M7A4	E1BCF5	F6XFW5
Q05D08	Q91YT8	D3ZT54	E1BJI2	F1PZM9
P28288	Q6KAR6	F1LPK7	A4FV74	A4GT58
Q9NPL8	Q7TPD2	Q8CFG6	E1B7U8	E2R6X6
Q9UHQ4	G3X9J1	P62752	F1N0R7	E2RP62
P31943	O35737	F1M5A9	F1N2W8	F1PEV7
P04264	Q78PY7	Q4V8E2	Q08E38	E2RS43
Q5XKE5	P97411	G3V8P8	F1N0K0	F1PVP2
O00425	A0A0R4J008	F1M9D6	F1MJ46	F1PN11
Q99538	Q3V0C5	D3ZWN3	G3X6Y3	J9P7S7
P29353	P14602	D4A8A0	Q32LC7	E2RDZ4
O76011	Q9DAY6	F1MAI3	A2VE21	E2R9R9
Q9GZL7	Q9DCD0	-	-	-
Q9NRC8	P62855	A0A0G2K6Z8	A7MBJ5	F1PV84
P01009	O88786	Q566R3	-	-
P02751	Q8VE73	-	-	-
P35232	Q8VHM5	D3ZD23	F1MGY2	F1PRD1
Q07021	Q62376	P16086	G8JKY0	F1PKF6
P53539	Q923M0	B2RZ92	Q0VC06	J9P2J0
Q9UJW3	Q3UQ41	Q5RKK3	A7E320	E2QUN8
Q07817	Q9Z2A0	Q641W4	F1MY97	F6V153
Q07820	Q8BV13	M0R3Z8	F1N2F9	F1PD03
Q14681	Q9JKP5	A4GTP4	P79251	J9NRT4
Q5JRV8	Q8R2Y0	M0RA85	E1BF06	F1PY25
Q9Y508	Q3TJZ6	Q7TNZ5	F1MMZ3	E2RCM8
Q96FW1	Q63844	P60522	F1MFF1	E2QYW2
Q92759	Q9CZ52	A0A0G2K9A7	E1BJC4	F1Q4F8
Q9Y3C5	Q61036	-	-	-
Q7Z3B4	P08046	A0A096MJB5	F1MHN8	E2R5U6
Q8IX01	P20444	-	-	-
Q99496	P68254	Q63429	Q08DE0	J9NXM2
O15379	Q6NVF0	D4A5E7	Q2YDE9	E2R2L2
O60229	Q8K4K2	Q9R044	F1MCH6	E2RR56
O95218	Q60876	M0R9L3	F1MGT5	E2RGP4
O15498	Q8C2S5	B0BN88	F1N1Z7	J9P6W8
Q13011	P48193	F1LMX1	F2Z4C4	J9P782
Q13077	P11416	M0R9T2	F1MSK3	E2R9D7
P62888	Q8BJ03	P31016	Q28044	F1PRH7
P13612	Q8VDM4	Q4KLK7	F1MEQ3	E2R0G3
P60842	Q08943	-	-	-
Q9HAW0	P15499	Q6ZYN8	G3X8D2	E2R835
Q9P035	Q6NS46	Q4V8C2	Q0VBY8	E2QT97
P62736	P97452	B0BN63	Q5E9F7	E2RLE2
Q8NFZ0	O88879	Q5U208	E1BIN1	E2RD50
Q9P1W9	Q8BGY2	-	-	-
P27361	P13405	A0A0G2K435	E1BDX8	E2RKJ1
Q96GG9	Q62433	B0BN81	Q2KIF9	F1PY11
P59990	H7BWY8	Q68FT6	E1B810	F1PBJ1
O60884	P46414	-	-	-
Q7Z6Z7	P29533	-	-	-
P06753	Q7TSJ6	E9PU78	Q2KI72	J9P504
Q01094	Q9CY50	Q5U2R8	E1BCT7	E2R123
Q14140	Q8R3P6	D3ZLB7	A7YWP2	F1PLC0
P62310	Q6PAR0	Q5BJT6	G1K1W5	F1PYT8
Q9UBX5	Q5D0B0	Q6TXJ0	F1MQB9	F1PTF8
Q6ZVM7	P61216	D4ADZ6	F1MJS5	E2RLG2
P26373	Q62318	F1LRV4	E1BGE5	F1PQN3
Q13616	Q9D4H8	F1LM64	-	-
P46821	Q9CQA3	M0R6T4	E1BNP8	J9NXC6
Q4G0J3	Q61553	Q68FS2	F1MFA2	E2RPW6
A0AVT1	A2AD03	D3ZB36	A5D7K4	E2RP07
P07766	Q7TSH3	Q04666	E1BJI6	F1PX99
Q8N2G8	Q80VW7	A0A140TAG4	E1BH47	J9NZB1
P27708	P0CG49	F1LQH9	Q5E947	E2RMN6
Q15628	P25119	F1LNK0	A7MBA0	F1PQH9
A7MCY6	Q99MP8	-	-	-
Q8WW24	Q9JI48	F1M8I6	Q6E804	J9P1M8
Q9H9E3	Q6P9R1	A0A0G2K0L0	G3MWH1	F1PA10
P22314	O35643	-	-	-
Q5SVS4	Q8JZU6	F1LVZ9	P02709	F1PXA1
Q9H596	Q9CZR8	D3ZXJ0	Q2KI89	F1PJ61
Q86TJ2	O55203	G3V625	E1BB33	E2R2H3
Q96ES7	Q05CJ5	F1M987	E1BN37	Q9TSZ7
P22681	O35593	Q9Z118	Q0P5N4	E2RBY3
P62195	Q99LE6	A0A0G2K747	A4FV54	F1PDQ4
Q8IXK2	Q9Z2E4	O08781	E1BN74	E2R7E8
P07900	P97377	P62138	Q5E9Y0	F1PGB6
P51610	Q9DBR7	P16970	F1MCX5	J9P7I1
P49336	P70353	Q4V891	E1BKG4	J9P2G2
Q8TEQ6	A0A1Y7VJS4	Q4V897	Q0IIH2	F1PI91
Q9P260	E9QAE4	G3V815	F1MP88	F6UWL4
Q9UKI8	E9Q5Z5	G3V8X3	F1MAU6	F1Q138
P05089	A0A286YCN8	D3ZPW6	E1B800	E2RF52
Q92569	P25233	D3ZZZ9	E1BBJ2	J9NXC4
Q96JZ2	Q9WUA6	O88996	Q2HJ66	F1PNK2
P31040	Q8K0U3	F1M9G7	F1MV51	P63050
Q5T9C2	Q8CJ00	P48442	-	-
P59190	Q9EQS3	-	-	-
Q9Y2J0	Q9QY14	-	-	-
P37088	Q8R149	-	-	-
Q8TD30	Q9CQT1	Q1LZ53	Q3ZBQ0	E2QZA8
Q9NWV8	Q9DC28	F1LXV3	-	-
A8MT69	P07759	D3ZY03	F1MJM1	F1PTY6
Q8N2Z9	O88508	D3ZAX5	Q2KIN4	E2RDN1
P55084	Q9Z2X8	O35095	Q56JW4	E2R837
Q5U5Q3	Q61084	F1LRI5	F1MVN1	E2RE71
P35998	Q78ZA7	D3ZUU5	P79132	E2RRL3
O75830	Q8C165	A0A0G2K8E7	G3X816	F1PNZ6
Q96EQ0	Q8C1S0	Q498C9	G3MXK4	J9NS44
O75531	Q8K273	Q6MG72	-	-
O95232	Q61457	A0A0G2K9Y9	G8JKZ8	J9NRQ9
Q8WUM4	Q3THE2	P07340	F1MZ21	F1PBD0
P31944	Q9ESK9	P86182	F1MV86	E2R6C3
Q70EK8	Q05AH6	Q6AYK3	Q0VBZ0	E2QZB3
A8K0Z3	Q5XF89	P21932	E1BJV7	E2RHG9
Q641Q2	Q61743	-	-	-
Q9Y5U2	A0A0A6YXI5	D3ZB48	F1MJS7	F1Q2H0
O00471	Q99KL7	M0RB75	G3N063	F1Q3X7
Q96NE9	Q0P5W1	D4ADF2	A7E3Q4	F1Q421
Q9NQ11	O88174	B2GV55	Q2KI38	E2QUC8
Q9NX76	Q14DL3	A0A0G2K9F8	P0C8B3	J9NYN8
Q9P0N9	P36993	D4A030	F1N664	J9P5F6
Q9GZM7	Q8BX05	B0BN13	Q3ZCF6	F1PZP2
Q9NZT1	Q6IFZ6	D3ZMJ5	E1BEI3	E2RGU8
P36578	Q3TKT4	A0A096MIX2	Q76I82	E2RJA8
O75955	Q9ERA6	Q5BK32	G3N016	J9P8D6
Q9H8Y8	E9QJU8	F1MAK9	P61763	J9JHN1
Q8IUH3	Q7TMY7	F1LSU6	F1MG57	E2R8Q2
Q9Y316	Q921L3	A0A0G2K199	G3N0S0	F1PZF8
Q15637	P51150	D3ZXH7	Q5E9T9	J9P2I8
Q5VWP2	Q61672	P42854	E1BJV6	F1Q2W1
Q96KS9	Q32MD9	A0A0G2K4Z9	E1BNP5	F1Q3A2
Q9Y5S2	Q8CII2	-	-	-
P20645	Q8C0C0	F1LWM1	F1MIQ2	E2RJH0
Q7Z5A9	Q5YD48	D3ZVU9	Q2V6R8	J9P073
Q8IYF3	Q8BQC8	P19637	A6QQ84	J9NV92
Q96GY3	Q60700	B5DEF8	A0A140T867	E2R1C3
Q12800	Q8CH72	D4AE96	F1MAZ3	E2QWF5
Q92551	Q8C1C8	D4A114	E1BPB5	J9P426
P51003	O08747	Q62797	Q0VCU7	F1PT20
O15131	Q9D0D4	-	-	-
Q15532	Q3UJD6	P11730	A7Z061	E2QWE3
Q92784	Q5HZI2	F1LP85	F1MM51	E2R0P6
P23229	Q3TMV7	-	-	-
O95433	F8VPR5	A0A0G2K2B4	E1BFS2	D0VYJ3
P62899	Q9QXS1	A0A140TAA4	Q5E997	E2R8R8
Q03001	Q9CXL3	Q63584	Q32PG1	F6XHA7
Q96JM4	Q8BG17	G3V9B7	G3N1V1	J9P663
Q9NZM4	O35857	A0A0A0MXY7	P10895	J9PB72
P28562	P53762	Q99NH5	E1BG88	E2RSC5
P61024	Q8BP40	P62168	E1BDB7	J9P0G8
P62277	P15806	D4A8G7	F1MCT8	F1P8U8
P62424	E9QNN1	G3V6D3	F1N647	E2QUU5
P17693	Q920G8	Q9ERW3	F1MPL1	E2RCA4
P43629	Q9D1G2	Q5BK74	E1B721	E2RAD3
P78364	Q9CWW7	-	-	-
Q14244	P51885	D3ZY89	Q3T0D2	E2QVC0
Q8TF05	Q9CPX9	A0A0G2K924	F1N059	E2R0P3
