O15116	Q6IWE2	D3Z9A7	E1BAZ2	F6UP55
P0DP25	Q9D2G2	-	-	-
Q9BYC9	Q69ZK5	F1LQ62	A4IFE8	J9NSU8
Q96CB8	Q78IS1	D4A9P2	A5PJT3	A0A8J8
O43318	P84091	P54645	E1B847	F1PQ79
P58753	Q09200	Q5VJF5	F1MIK7	E2QXF8
Q07020	Q8CGC7	P05197	Q5E954	E2RFV7
Q9H0B6	Q9EST3	D4AEL2	A6QNL7	E2RPK5
O14980	Q80V62	Q80U96	F1N7F3	F1PW15
Q9NVH1	Q3U319	M0RCA6	F1MH20	E2R3C5
Q04917	Q9EPU4	Q68FS2	E1BKX7	E2QWU0
P35520	P97390	A0A140TAA8	E1BCT7	E2RPG9
P51178	Q6PDY0	Q9JI61	Q148F3	E2RPC7
Q9Y496	O08580	D3ZM64	Q3SZC1	J9P4Z0
Q9Y5F2	Q5NBU8	-	-	-
P11586	P97434	D3ZFB2	-	-
P27694	P97477	P63086	Q8HYB6	E2RQC9
P30291	Q9QX47	F7EZ89	F1N3G4	F1PSM3
Q13526	P34152	P63170	P68138	J9NSE8
Q9UIS9	D3YXK2	O88498	F1MNP4	E2RIV1
O95782	Q9Z1N5	P70580	F1MWR3	J9P3A3
P62995	Q3THK3	P15865	E1BC36	E2RFP5
Q13242	Q60953	G3V8T0	F1MI32	E2R667
O43255	A2A9K7	-	-	-
O76083	Q61210	F1M3A0	E1B844	J9NV79
Q96GM5	A0A1D5RLB0	M0R4H8	E1B8X8	E2RTL6
P60468	Q8VE65	A0A0G2K1P8	-	-
Q9HBM1	Q9WV52	G3V7M9	E1BA57	-
P08236	Q8BT18	Q5XHX2	F1MXV1	E2RPP1
Q6P587	Q8R0M8	D4A1L6	F1MGH0	J9NXX8
O14753	Q8C267	P04563	E1BK83	E2RSB5
Q9ULX9	F8WJF7	A5HK05	F1N601	E2RG90
P31150	P47809	Q5PQM2	F6Q234	-
Q15024	P51637	Q66H28	Q68RJ9	E2RKU2
Q15797	Q02257	F1LQS1	Q32KL2	J9NW81
Q8IWI9	Q3U898	Q6IMA3	Q2KI49	J9P5Q6
Q12873	O08599	F1LNQ2	E1B887	J9P6U4
Q9H444	Q99K90	O70513	F1MGK9	J9PAD8
O60831	Q8BRE0	F1M6J5	-	-
Q5VIR6	Q9DCJ1	Q7TNZ5	A4IFF7	J9P792
O60885	Q921I9	D3ZCG3	Q3MHE2	F1PT97
Q6P1J9	E9PUK6	M0R3M4	Q3T0G3	E2R5Q5
P78352	Q793I8	D4A3N0	F1MZS1	E2RCE9
Q9NTN9	Q9D110	Q5XHX6	Q08E63	F1PLB0
Q9BWF3	P26041	Q00969	Q5E9F9	E2QS13
O95931	Q8BPM2	-	-	-
Q8NDX5	Q58NB6	Q4KLL4	A4FUX7	F1PMI5
P49841	P80318	M0R623	Q5E956	F1PAP5
Q99062	Q571C7	Q4V8A9	F1MBJ1	J9P6Y7
O95470	Q9D1B9	-	-	-
P51659	P97813	Q6P503	F1MMU4	F1Q3G5
P62993	Q8VEE4	-	-	-
P63104	P97310	P34058	A6QLQ0	E2RLQ6
Q07890	Q8VC34	O70260	F1N6C2	E2RL26
Q92997	Q9DB15	F1MAQ7	Q2KJ94	J9NTA0
Q9Y2G4	Q9D7R7	M0RE13	Q3SZM3	E2RSV6
O75533	Q9DBG6	F1LSS1	F1MH06	E2R536
P16333	E9QLK7	D4A3M8	-	-
Q9NY26	O55131	A0A0G2JWL4	A8E4P5	F1PX71
P60331	P70284	D3ZAQ8	F1MHX7	F1PQC1
Q86X29	O35732	D4ACP5	A5PKG9	J9P593
Q99717	P97772	D3ZLP9	Q9N0P9	F1PLT8
Q5VZ89	Q641K5	A0A0G2K3H2	F1MIU6	F1P620
Q9BQK8	Q6VVW5	Q9JIR1	F1MNS9	E2QW11
Q15750	Q60972	Q6AYK8	Q1JQD2	F1PET2
Q8N6Y1	Q5DTK1	-	-	-
P04637	Q01279	P17325	Q3T0F9	F1PU58
Q96EQ8	Q9D125	A0A0G2JSJ2	Q10568	E2RAH2
Q14790	Q6NS46	D3ZFP4	F6QHJ6	F1PQC4
Q9Y6E0	Q8BT14	G3V6Y6	G3MY02	J9NYY3
Q16552	Q62095	P14740	A1A4N2	E2RK69
Q9BXL7	Q0PHV7	-	-	-
Q92576	Q8K2A1	-	-	-
Q9UK41	P62965	D3ZUL3	Q9TR36	F1PS48
Q9Y6D9	P97864	A0A0G2JWX4	A1L506	F6Y6K4
O15342	B2RWJ3	Q5RKH7	G3N3V6	J9NZV1
P52569	Q9DCI3	Q4FZV7	A6QR38	F6ULT3
Q16222	P49710	D4A6X7	A0JN77	F1PNJ5
P27348	P80314	Q6P6R2	F1MK30	E2RB79
Q96F86	P53395	-	-	-
P0CG32	Q3TCJ1	P56261	F1MH30	E2RFA5
P48047	Q91WM1	F1LNP1	A6QLT5	F1PVV7
P08559	O55042	-	-	-
P42166	Q8BP47	P62142	F1MBT5	E2QY08
Q9UPT8	Q3TKF8	Q5XHX8	Q05B67	E2RNP3
P07437	B2RQC6	Q7TPB1	F1MFF1	J9NWL1
Q13546	A2AQ07	-	-	-
Q13323	O09113	P61016	E1B8V4	Q6J3Q7
Q969F0	Q8C5S7	D3ZCF7	G3N154	F1PEX0
Q3KQU3	O54928	F7F6T5	E1BQ40	J9NRS2
P04406	P68040	F1LRV4	F1MBQ8	J9P326
Q9H4A3	Q9Z1R2	D3ZN95	Q08DN8	F1PSQ3
Q9Y3D0	P56695	M0RB11	-	-
P04179	Q64437	A0A0G2JZN0	F1MTF3	J9PAR0
Q13029	Q9QZS8	D3ZCK7	F1MYZ0	J9NRP1
O43151	P70326	A0A0G2K4D9	F1N2E0	-
Q99623	Q8K2B3	B2GV41	Q1RMR3	E2RB81
P08243	Q8BGT7	A0A140UHX2	Q7YRV4	E2R1X1
Q9NZL4	Q8VDF2	D3ZDH4	F1N1F8	F1PWX8
P34897	Q61097	Q9R0T4	Q08DE0	-
Q8IXQ3	Q61879	Q9Z1T4	A6QPA1	J9P074
Q9BRX5	Q7TT50	P51796	-	-
Q9Y6E2	Q5SVQ0	Q3SWU0	-	-
P51149	P62196	G3V6H2	P00829	F1PG59
Q7Z4R8	P97355	-	-	-
Q6NUN9	Q9EQC1	D3ZXP3	F1MQ36	E2R6Q2
Q8IWZ8	Q7TN79	Q9JKY2	E1BKS3	F1PL00
P61077	Q8R5L1	E9PTN4	F1MHN4	F1PQ09
Q8WY64	V9GWT9	B5DEL5	F1MGZ0	J9NUW7
A1L0T0	A6H6E2	D3ZJG1	E1B828	F1P7S1
Q9UBB6	Q921N8	-	-	-
Q15029	E9QN31	D3ZUY8	F1MZT7	E2RJ89
Q8IZ73	Q3U057	Q6GX83	G3MZR7	E2RP82
Q13043	Q60605	Q5M7W5	Q2KI42	F1PNG1
Q8IVL6	Q9Z180	F1M076	F1N0X6	J9NSM6
O75084	P46660	F1MAA2	A0JN53	F1PG13
Q05397	Q9QXS6	Q9QZM5	A7MBG4	J9JHG8
P12956	P39429	P61980	F1MN19	E2RC09
Q9UN37	Q00897	D3ZLX0	A5PJE3	F1PBF7
O75530	Q9D4H8	O08837	A8E651	E2QRU7
P05141	O35226	D3ZRE3	Q2HJ60	E2QUR2
Q9NY33	Q99K24	A0A0G2JZY3	F1N1N4	F1Q248
P37840	Q9JIX8	G3V918	Q17QG2	J9P2Y3
P25705	O08788	P35465	Q17QG8	E2RE36
Q9Y6C9	Q9QYB5	D4AAV8	Q2KHU0	E2RTA9
Q9HB90	O88291	F1LX68	Q29460	F6Y0Y5
Q8TB72	Q9CWJ3	F8WFQ4	G3N2U0	F1PGW9
Q86WU2	A7MCT6	M0RCA3	Q08DP6	E2QWA3
Q8N884	Q9Z0F8	Q9JIJ7	Q148M2	E2QUR0
O15551	D3YV92	A0A1W2Q644	Q58CS5	F1Q2Q5
O95471	Q9QZB1	G3V622	E1BHE7	J9P9E7
A0A0S2Z6P0	Q9D659	O55232	F1MCG8	F1Q0S3
O00442	Q91X96	F1LXD8	F1MS64	F1P946
Q96F44	M0QWN7	D3ZKQ0	Q3MHZ2	F1PIZ2
Q9H078	Q3TJ91	G3V661	A5D7L4	F1PUF5
O15143	Q9CXT8	-	-	-
P61160	P68037	D3ZY44	Q148M1	F1PFL8
P27797	P16460	F1LT10	G1K218	F1PP42
P08621	Q3UEB3	F1M4J0	E1BNV4	E2R2N2
P23634	Q99JI1	Q811Q5	A6QP81	F6Y8N2
Q96P16	D6RJM5	Q0ZFS6	F1MZ38	-
P57678	Q8CHU3	-	-	-
Q9NVI7	P62911	Q4QQS7	Q1RMU4	J9P150
Q9UJZ1	Q03963	A0A0H2UI02	Q2KHT6	F1Q292
Q09028	Q8VEB1	-	-	-
Q6WKZ4	Q8BXA5	-	-	-
O94868	G5E874	Q7TP42	E1BCD8	J9P5N7
P98173	A2A995	D3ZLX3	A4FUD4	E2QUE9
P46777	Q91V55	P62703	Q1RMU2	F1PUX4
P61254	Q8CHP5	Q6GMN2	F1MSS9	E2RLA4
O60841	E9Q921	B0BND9	E1BKM6	E2R6R6
P06454	P62881	F1LRB8	F1N7X3	E2RSL5
P62244	P47963	A0A0A0MY09	Q08E38	E2QZG2
Q13151	P61027	Q4G061	F1MMY6	E2RJH5
Q14155	P0C0S6	D3ZEM8	F1N7H0	E2RJ55
Q9H2H9	P28652	O35547	F1N3A6	F1Q3T9
Q9H936	E9Q3R6	D4A463	Q0VBY5	E2QWW8
O00264	Q6P5E4	Q5BJN3	F1MGQ5	F1PLF3
Q8NBP7	Q80TI0	F1LVT1	F2Z4F5	E2RQ64
P09874	Q8BUN5	D4A9D6	P19120	J9PBC5
Q96L91	Q8BKT8	G3V650	F1MID4	E2RKU9
C9JAW5	Q80X53	O54852	G3N136	F6XYK7
Q9Y5E8	P19228	Q5U2P1	E1B9W9	E2QTJ4
Q9H2W6	P70699	Q66H99	-	-
Q9UJS0	P70444	P14056	F1MC50	F1PU14
P53396	P61255	O70593	F6QIA5	F1PFG6
Q9UNF1	Q9JIF0	Q5U2N2	F1MN93	E2RDF9
P25025	Q8C790	F1LVA5	F1N378	J9P570
Q16531	P70424	P32551	Q5KR47	E2QXE0
Q9Y297	P63001	A0A0G2JSI8	Q0VCY1	E2RIQ2
P10644	Q62406	F1MA98	F1MG70	E2R7P6
P19021	Q7TPM5	A0A0G2JSR8	F1MW17	F6XBX5
P49715	O08550	-	-	-
P07954	Q8CGF7	P15791	E1BDV4	F1PZ86
P50238	Q64731	-	-	-
P09619	Q3UG20	Q5U2N1	F1MNU9	J9P8D6
Q03135	Q9DCL9	Q66HM2	E1BM72	F2Z4N5
Q9GZR7	Q6PDM2	P04636	G3X7C0	E2RIB8
Q9H6R4	Q9WTU6	G3V6K3	A5PJZ5	J9P059
Q70EL1	Q8BXG3	P35332	Q3MHN8	F1PET0
Q8IV13	Q9D9K3	Q8R5H8	E1BKR0	E2RBM5
Q86SJ6	A2A8R0	D3ZHG7	A6H776	E2R4Q2
Q92636	Q9D2H5	G3V8C6	A7YY73	F1PK03
P69905	Q8BQM4	G3V9V3	Q08DM1	F1PU73
P38398	P23249	D3ZUC2	Q08DH1	E2R6T4
Q86W56	Q3TQB2	D4ADG4	Q3T138	F1PU49
O43679	Q3UGY8	Q5XIG2	Q08DG7	E2RLX7
Q96NA2	Q8BX65	D4AB49	F1ME23	F1PRL8
O00505	Q64729	G3V6N9	E1BKG4	F6Y037
P05062	A0A0R4J0N7	P51652	Q5GF34	E2RNR8
Q99757	Q91XV3	Q9EPJ3	-	-
P40939	P29477	G3V9A8	F1MDX9	F1PVC1
P55286	Q9WTJ4	-	-	-
P34947	P02463	B5DFC3	P11017	F1PKV2
P03372	Q6P5F9	-	-	-
Q00610	P70168	M0R9Q1	Q3ZCH0	F1Q2Z4
P48443	Q91VL2	F1M7V4	A1A4I7	J9PBD6
Q2NL98	Q9Z2I2	Q4V8D1	E1BJU5	F1PWA4
Q92731	P61982	-	-	-
O14617	Q61312	F1LN59	E1BH22	E2RIR7
O96018	P53569	B2RYJ2	E1BHP6	F1PSY9
Q96BW9	O70200	D4A6Y6	G3N3E0	Q30KT3
P51946	Q8BMK0	D3ZTF6	F1MGT5	E2QV02
P51671	Q62087	D4ACY1	E1BCZ1	F1PQ58
Q9NPB9	Q9Z324	Q05962	A6QQV9	A0A0B4J196
Q96EY1	Q9CR26	G3V7F1	A0JN86	E2RNY6
Q6NZ67	Q7TNI7	A0A0G2JUL8	F1MXW8	F1PH86
O14497	Q06180	A0A0G2K659	A5D7I1	J9P5N6
P25685	P52431	Q5PPJ6	F1N443	E2RFV2
Q7Z4Q2	F6U5V1	P62961	F1N0Q8	E2RAD0
Q96B77	Q8VHH7	G3V6W8	Q2KIK3	J9NYL0
Q99445	Q3UR32	F1LUG5	Q5E9M1	J9NTV9
Q9BZ76	Q8BZT7	A0A0G2JSI9	F1MVN3	A0A140T8D9
O95067	Q9WVH4	Q9JIH7	E1BMI8	F1PGR8
P38936	Q8R5H1	G3V8C3	F1MUZ3	E2RRK6
Q13322	Q8K363	-	-	-
Q9Y6I4	Q91VY5	D4AB26	A6QPN2	E2R0E5
Q8NCN4	A0A087WRS6	-	-	-
O14492	Q7TMI3	Q5U2R7	E1BJL3	E2RA00
Q9BXS5	P08553	A0A0G2JTR4	F1MHU9	E2RHZ8
Q9UBL3	Q9JJA4	B0BNE2	Q2TA49	J9NWJ5
Q13263	P63087	E9PTB2	Q3B7N2	F1PDG4
Q8TF47	Q9CQI4	-	-	-
Q16513	Q3UWL8	P62815	F6R1Y7	F1PN31
Q15796	Q64727	B5DFH7	E1B8P9	J9NUI0
Q9H7L9	Q60898	F1LRZ9	F1MFZ8	F1PPQ8
Q8IWV2	Q9JHI2	D4ACA1	F1MW38	F1PF60
Q8IXL6	P97440	Q6AYB5	A2VDT1	F1P6K4
Q9BPY3	Q91ZM2	Q811R2	F6RLQ6	Q9TQX6
Q9BZL6	Q61146	Q68FW4	E1BI80	F1PEI0
Q9Y3R0	Q8K1R7	A0A0G2JZ38	F2Z4F0	F1PMN2
P53567	E0CYE9	-	-	-
Q08881	P11881	D3ZNY8	F1N0P2	F1PNS2
Q9BSL1	Q8C5L3	-	-	-
Q9Y6B2	Q9JI91	Q3KRD0	Q0P5C2	-
O00159	Q9JMH9	P10760	Q3B8S0	F1PSB7
P23528	Q99KJ8	D3ZPR0	F1MXS1	E2QRU9
Q12756	Q8CEE6	P84817	E1BD49	F1PKT0
Q01082	Q3U741	P62282	Q5EAD6	E2RSU7
P17035	Q9D105	M0RBH5	P10894	E2QZS0
Q16659	F6UL52	G3V913	F2Z4C1	F1PAA9
O95544	P51682	-	-	-
P30305	Q8R322	D3ZCD0	Q32LN7	Q45FF7
Q8TF46	E9Q492	F1LTR3	Q32KX9	J9NRL8
Q9NQT4	Q66T02	D4A3P1	A4FUY3	E2QWL4
Q9H4L4	Q01097	D3ZK73	E1B925	F1PKS3
Q00987	Q8VDM4	A0A0G2JSP3	A5D984	E2RA07
Q92619	Q9Z0W1	Q5BK64	F1MBA3	E2R136
P50281	Q8R0T2	A0A0G2JT78	E1B7B3	E2R901
Q99727	Q9R0M7	Q6AYL7	F1MZM5	F1PQW6
Q8TB96	Q9DCL2	D3ZJ05	F1N388	F1PDV6
Q9H5J8	Q9WU56	A0A0G2K8Z6	E1BNQ2	E2RC93
Q9Y6X2	Q8R080	Q9ESV7	-	-
Q8WUK0	Q811W2	Q02253	Q3ZBK3	F1PST9
Q9P286	P48985	-	-	-
Q9BU23	P10628	P63138	Q9TTR7	F1PA70
Q9UNA3	P61793	D4A284	F1MGQ7	E2RRR8
P68363	P26638	A0A0G2K7T6	F1N091	J9JHR4
Q99836	O35601	P05982	F1MNN6	E2RBT3
P43355	O35185	Q5XFW4	E1B8R5	F6XPC2
Q99457	Q00417	A0A0G2K9P5	E1BAF5	E2R490
Q99497	P11416	D3Z8G3	F1MQB8	F1PPZ5
Q9HCM4	E9QP59	F1LPG3	F1N088	E2R9K8
P35712	Q3UHC1	A0A0G2KBB3	E1BB99	J9P7C4
P29320	Q62513	P13832	A5D7A7	J9NYX5
P98172	P15037	Q569C3	-	-
Q13895	E9PV24	-	-	-
Q8NF50	Q61069	-	-	-
Q02763	Q9WTN0	A0A0A0MXX3	F1MFP5	E2QXT2
Q05209	Q99JP6	-	-	-
Q5T447	Q9WTZ0	D3ZQW1	A5PJQ1	J9P855
O60603	Q3U3N6	Q66HG6	A6H7E9	E2RKC6
Q02750	P69566	D4ACW1	A6QLS3	E2RIU5
P36915	G5E815	A0A096MK76	E1BEP2	F1PI56
Q13310	Q6PHQ9	O55173	E1BFB0	J9NTG2
P56539	Q9ESH4	Q00715	F1MTT2	J9NXU8
Q96GE4	P57748	B0BN00	F1N026	J9P140
O60287	Q9D2Z4	-	-	-
Q9P031	Q80XD1	G3V729	G3X793	F1PLN6
P30837	P51660	P97852	F1N3G2	E2R220
P47985	O88441	P28841	F1MF30	-
Q9UMZ2	P31245	P60192	E1BND1	E2RTD7
P08238	P80315	D4A8G7	Q3SZI4	E2R1V2
P52630	Q6P1F6	Q4FZT0	F1N3P2	E2QUX8
Q49AM1	Q9D1E5	G3V7L0	F1MBM5	F1Q3X3
Q15165	E9Q9F5	B0BNB1	G1K1R3	F1PWG7
Q86VZ4	Q8VE42	D3ZFS3	Q17QZ6	J9P1T5
P02746	Q8BIR2	Q5RJP7	G3X6Q3	F1PT84
Q70CQ3	Q9D1H7	A0A0G2K226	-	-
O00204	Q9D3J9	P70483	Q6PX77	F1PV66
P14621	A4Q9E5	P18421	Q24JZ3	F1PFD7
O43251	Q99LX5	D4A5A4	F1MY08	J9P663
Q99700	Q9D6J6	Q5PPP3	Q0IIF6	J9P793
P13645	Q52KC3	P54313	P67827	F1PUW6
Q05D08	P58069	-	-	-
P28288	Q00623	P97836	F1MFB2	J9NS34
Q9NPL8	A2AVZ9	A0JPK3	F1MX01	F1P804
Q9UHQ4	A0A087WQY2	-	-	-
P31943	P62754	P68511	F1MBP8	F1PGL9
P04264	P04104	Q56A27	A6QR30	E2RQE7
Q5XKE5	Q8K2H6	D3ZJ55	-	-
O00425	Q91YD9	-	-	-
Q99538	E9Q7L1	-	-	-
P29353	Q03265	Q4QRB4	G5E5A9	E2QYW2
O76011	Q8BRU6	Q99PE7	F1MBU7	F1Q2E6
Q9GZL7	Q9R0I7	Q9JKL8	A7E3Q8	J9NT23
Q9NRC8	P11499	Q9WUD9	Q3SX24	E2R0T6
P01009	Q3U3M5	Q91XQ2	A6H6W7	E2RFX6
P02751	P97377	-	-	-
P35232	P14602	A0A0G2JVW5	F1MYG5	J9NZR2
Q07021	Q922D8	D3ZBQ1	E1BNA1	F1PH72
P53539	Q9DA15	D4AA32	P82928	F1PHV7
Q9UJW3	Q9D8C8	-	-	-
Q07820	P60605	G3V700	Q01321	E2QWC9
Q14681	P03925	D3ZKI6	Q2HJF6	E2RMD2
Q5JRV8	O35143	Q63545	F1MHP4	F6XXG7
Q9Y508	Q5SQX6	-	-	-
Q96FW1	P61222	Q9Z2L0	Q3SZ20	F1PQN3
Q92759	P11103	-	-	-
Q7Z3B4	Q99PI5	Q5XID7	E1BDH6	F5C3N2
Q8IX01	Q60700	-	-	-
Q99496	P48678	O70436	E1BK00	E2QWE0
O15379	P84104	F1M589	F1N0Y1	E2QUY7
O60229	Q5XJV7	Q05KR1	E1BEQ6	E2RTC8
O95218	Q91WA3	Q66HG9	F1MSF6	F1Q334
O15498	P99025	D3ZHG4	F1MGQ8	F6XH90
Q13011	Q9Z2A0	P97878	A8NJ74	E2RFF7
P62888	Q8VH51	Q6PCU4	Q29RS9	F1PE28
P13612	O35864	P61983	Q5E9Y0	E2R000
P60842	Q8BHD7	P11475	E1B748	E2RSP4
Q9HAW0	A0A0G2JG52	D4A474	-	-
Q9P035	P11031	D3ZTT7	E1B885	-
P62736	Q99JY9	E9PTG1	-	-
Q8NFZ0	Q7TQG1	A0A0G2JTU9	F1MHT1	F1PGR1
Q9P1W9	O35435	-	-	-
Q96GG9	Q6ZQ58	Q01714	Q3ZBW4	F2Z4P2
P59990	Q8C0E3	D3ZBU8	P19632	F1PLH8
O60884	Q5SUH6	B0BN51	F1MTX7	F2Z4N0
Q7Z6Z7	Q921M3	P04961	Q9XSB5	E2RLQ9
P06753	P25911	B1H227	Q2TA25	E2RF06
Q01094	Q99MU3	F1LRT9	F1MCH0	E2R792
Q14140	P19783	Q5XIE9	F1MM14	F1PLQ2
P62310	Q6PB82	-	-	-
Q9UBX5	Q9D1G3	Q8R5L5	F1MT67	E2RP98
Q6ZVM7	Q8VCX2	A0A0G2K132	Q0IIH0	F1PH98
P26373	Q91YQ5	F1M3U4	E1BM41	E2RB90
Q13616	P49312	-	-	-
P46821	Q8BJU0	F1LM57	A4FV47	E2RHM4
Q4G0J3	O70293	-	-	-
P07766	P63141	Q9R1T3	P00257	E2RPL0
Q8N2G8	Q91XC8	D4A4Z0	F1MYB8	J9P2A3
P27708	Q60875	D4A510	A4FUD0	E2R3G3
Q15628	P47857	A1A5S1	Q4JF28	E2R2I5
A7MCY6	Q91YL3	D3ZW82	F1MYR9	E2QWX4
Q8WW24	B2RXC2	Q9Z1I2	E1BHY5	E2RDY8
Q9H9E3	Q91YL2	A0A0G2K2F4	F1MP70	J9P1W9
P22314	Q9ERG0	Q56A33	Q3T057	E2RFA3
Q5SVS4	P21729	Q5M856	-	-
Q86TJ2	Q60614	-	-	-
P22681	P61161	-	-	-
P62195	P11983	P68370	Q2HJ23	J9PAX0
Q8IXK2	Q8K2V6	B1WBZ4	P79134	F1P9P5
P07900	P48754	A0A0G2K0D4	G3X757	F1P624
P51610	P33242	F7FJR8	F1N1A7	E2RR72
P49336	Q8BT07	Q63540	Q5BIS9	J9PA12
Q8TEQ6	Q9D024	D4A559	A7Z018	J9PBL1
Q9P260	P01942	O70244	Q08D76	J9P7H4
Q9UKI8	Q9CQG1	A0A0G2K0P8	F1MUP9	E2RKS0
P05089	Q9DC51	D3Z898	F1MP10	G1K277
Q96JZ2	P70434	Q8CFG6	E1BFN6	J9P372
P31040	E9PXY8	D3ZS29	Q5E9Q6	E2RKQ6
Q5T9C2	Q9D8L4	A0A0G2JVG4	Q3SWY4	F6XH70
Q99961	E9PV14	-	-	-
P59190	Q920U1	M0RDZ7	A4FV35	J9JHP1
Q9Y2J0	Q6XJV4	Q561R0	E1BGI8	F1PLJ2
P37088	Q3THU8	A0A0G2K1M5	F1MFR6	J9P258
Q8TD30	P59054	-	-	-
Q9NWV8	Q60715	A2RUW1	F1MCJ1	E2RQL0
A8MT69	Q91WP1	E9PU84	F1MS01	E2QS61
Q8N2Z9	B9EKS2	D4A4V9	F1MT44	E2RTI0
P55084	P48722	D4A2T5	F1MZ10	J9NWN7
Q5U5Q3	P47811	D4A4J0	E1BKP6	E2RCL4
P35998	Q8BK64	O35814	A0A140T832	F1P8X2
O75830	Q9Z184	Q769K2	F1MBG4	E2QWM2
Q96EQ0	A0A0R4IZW7	A0A0G2K6V0	Q08D81	J9P2W4
O75531	Q8R023	-	-	-
O95232	Q6RHW0	A0A0U1RVI2	F1MWL1	E2RC42
Q8WUM4	Q9Z0Z7	Q64LC9	F1MJV5	F6XCS5
P31944	Q9QXH4	Q566E5	Q08DD2	E2R3I0
Q70EK8	Q9D4G9	F1M7G9	F1MYU7	E2RF61
A8K0Z3	Q64281	D3ZSN7	E1BDE0	J9P6S4
Q641Q2	Q9JHE3	A0A0G2JSP2	F1ML62	F1PGL3
Q9Y5U2	P31938	A0A0H2UHE5	-	-
O00471	O08858	D3ZHP7	A4IFD6	F1PY64
Q96NE9	Q99JW5	P35351	G3MZW3	F1PIG0
Q9NQ11	Q8BGB5	D4ADP8	F1N2J7	F6Y5D4
Q9NX76	O54803	P34067	F1N0Y8	F1PDW0
Q9P0N9	Q2EMV9	D4AB50	F1MUY9	J9JHS3
Q9GZM7	O54709	A0A0G2K320	Q58CX9	J9NZC9
Q9NZT1	P47708	P19234	A0A140T8A4	F1PFB4
P36578	Q5XJF6	Q3KR59	O18789	J9NZX6
O75955	Q9JMG1	Q6AY63	A7YWK4	F1PBG5
Q8IUH3	A0A140LJJ8	P29117	G5E5N0	J9P4A1
Q9Y316	Q8R1E8	D4A719	F1N0X7	F1PGK8
Q15637	P08113	A0A096MIX2	Q3ZBU7	E2R9I0
Q5VWP2	Q8BG18	P10719	Q5EA48	F1PDL1
Q96KS9	E9Q444	Q9JHU5	A6QQ10	E2QWN2
Q9Y5S2	Q99M73	-	-	-
P20645	P47199	D0IN10	F1MY82	E2RE50
Q7Z5A9	Q62302	D4A2K1	Q2HJB1	J9P811
Q8IYF3	Q9JKS4	Q03484	G5E598	-
Q96GY3	A2ALW5	D3ZP47	Q32P60	E2RKM2
Q92551	Q8BWM0	Q9JK25	E1BGC5	E2RRE8
P51003	P48455	M0R3N4	Q17QV0	E2QUB3
O15131	Q9WUH5	P0C5Y8	F1MC44	F1PMV5
Q15532	Q8VCE2	Q5RKH1	A6QQT4	F1PC28
Q92784	Q9D517	-	-	-
P23229	Q91YD6	D4ACE9	A5D7T4	F6XLZ4
O95433	P62855	P18418	Q2KIA5	E2RLL6
P62899	Q8QZY1	P62250	F1MVC0	J9P0V9
Q03001	Q9CQE8	Q32Q86	Q3T0Z8	F1PZP6
Q96JM4	Q9QZB9	Q6AYR5	A7Z026	J9NVZ5
Q9NZM4	Q80Y20	D3ZQN8	A5PJC4	F1PKU5
P28562	P70379	O08718	E1BGM1	E2RIR8
P61024	Q99MP8	Q9R011	F1MIU5	E2RGP4
P62277	O88569	D4A9L2	Q95KU9	E2R149
P62424	E9QNN1	-	-	-
P17693	Q9QYK9	D4A0Y2	F1MM82	E2RQL6
P43629	Q7TT23	D4A1A7	F1N7B6	E2QSP0
P78364	O35130	D3ZRA7	F1MTF4	F1PJA5
Q14244	A0A087WQ23	A0A0G2K046	F1N1J9	E2RCY1
Q8TF05	Q80XI3	G3V6C0	-	-
Q7Z572	Q61087	D3ZUL4	A0JNG9	E2RFK7
Q86VP6	Q792F9	P60711	F1MM66	E2RTC3
Q7L2J0	Q91VE6	D3ZHA0	Q1RMR2	E2RP23
Q9Y224	Q64737	B2GUU9	P84080	L7N0I1
O43464	E9Q6J5	D3Z8X6	F6QBP1	E2RR37
P00966	Q8CH02	F1LWZ3	-	-
P55060	Q8BMS1	Q6P3V8	F1N218	E2RNA9
Q8NI77	Q9DD06	P09321	-	-
P01106	P60710	A0A0G2JZG2	E1BIN5	F6XST9
P30279	Q8R2H9	-	-	-
Q14676	Q9D902	-	-	-
Q9UJX4	Q9JJN0	D4ADM8	F1MND3	E2QUT0
O94941	P70227	D3ZD89	-	-
Q9Y2X8	Q9D666	-	-	-
O15015	A0A1L1SQL8	D4A469	F1MFD0	F1Q3S0
P16219	G3UW63	-	-	-
Q9UH99	Q8K2C7	-	-	-
P05161	G3X9H5	D3ZV40	E1B9D9	F1Q462
P12429	B2RUJ5	Q4V893	E1BFC3	E2R423
Q8TB37	Q810P8	-	-	-
Q9UBS4	Q3UH68	Q5EAN7	E1BN70	F6XCI1
Q6PJG2	Q7TSJ6	D3ZYT2	Q0IIG8	F1P714
Q9UKY7	P70313	Q66HA7	E1BM02	F1PK01
Q6ZW49	P39689	Q3B8Q2	F1MD32	E2RDC4
Q9NPI6	P84078	D3ZWK4	E1BL53	J9NW98
Q9UHA4	Q91YH6	A0A0G2K516	E1B7H2	E2QZV3
Q9UL25	Q9Z0V1	F1M9D0	F1N7K8	F1P7Q6
P50990	Q99N15	F2Z3Q8	E1BD02	F6V0D8
Q9H2J4	A2A7Q9	D4A1Z7	E1BGV8	J9P268
Q7Z422	Q9ER00	P11506	F1MVH9	E2RQI7
